n,p_removed,T,binder,binder_err,n_realizations
32,0.0,4.864,0.1231961307693672,0.09650672382817109,4
32,0.0,4.892,0.1678541357251036,0.049782448911288135,4
32,0.0,4.92,0.029873450279577884,0.13900931854781598,4
32,0.0,4.948,0.3219881701345726,0.02765257410236339,4
32,0.0,4.976,0.11884737848606444,0.11005361993261603,4
32,0.0,5.004,0.00865324926424843,0.1284578804567202,4
32,0.0,5.032,-0.18433513784446962,0.08452124353252909,4
32,0.0,5.06,-0.34518884448599857,0.05482442865416704,4
32,0.0,5.088,-0.2202330257248023,0.07412897855708304,4
32,0.0,5.116,-0.5043861574110079,0.10138693174504912,4
32,0.0,5.144,-0.1168033306756498,0.3831512208718847,4
32,0.0,5.172,-0.7542385229586054,0.09213984093950983,4
32,0.0,5.2,0.010830423199391037,0.5711820362584029,4
24,0.1,3.5,0.6663892871347582,4.179463862834151e-06,12
24,0.1,3.526,0.6662298819035531,0.00011821693809953738,12
24,0.1,3.552,0.6663091056291562,7.817730855888538e-06,12
24,0.1,3.578,0.6662709868674473,5.712629628452064e-06,12
24,0.1,3.604,0.666217213760841,6.602630626294697e-06,12
24,0.1,3.63,0.6661399963829889,1.312304524204232e-05,12
24,0.1,3.656,0.6660560124019753,1.1945387821056375e-05,12
24,0.1,3.682,0.6659579481972557,1.808184632180282e-05,12
24,0.1,3.708,0.6658108633303226,1.962316580523309e-05,12
24,0.1,3.734,0.6657173151021586,1.733158496970764e-05,12
24,0.1,3.76,0.6654186959641469,2.417557810767231e-05,12
24,0.1,3.786,0.6651825223319469,5.3661939296616046e-05,12
24,0.1,3.812,0.664793645607353,4.37648597525549e-05,12
24,0.1,3.838,0.664315956032867,6.852660981621617e-05,12
24,0.1,3.864,0.6636377848239828,8.900369285091996e-05,12
24,0.1,3.89,0.6623221085079708,0.0001549043538528351,12
24,0.1,3.916,0.660853987007396,0.00024696249822024114,12
24,0.1,3.942,0.6561610808199279,0.0007141713655662334,12
24,0.1,3.968,0.6488050710937289,0.001267007372172415,12
24,0.1,3.994,0.6229333129390927,0.006217341533052188,12
24,0.1,4.02,0.5130432035597204,0.030131904687485472,12
24,0.1,4.046,0.3985052446132193,0.025119310751906713,12
24,0.1,4.072,0.28778752055903584,0.023000369405883875,12
24,0.1,4.098,0.1792805180609601,0.0404916910035592,12
24,0.1,4.124,0.07035447393351398,0.052525971864059134,12
24,0.1,4.15,0.1253786350212758,0.04396796057179285,12
24,0.1,4.176,0.15156782939684557,0.039383169591482456,12
24,0.1,4.202,0.07456921530490807,0.0275487957745616,12
24,0.1,4.228,0.035934842633135365,0.0448802015822111,12
24,0.1,4.254,0.05943771968922094,0.026098539736127177,12
24,0.1,4.28,0.04533023943271374,0.027870559155326106,12
24,0.1,4.306,0.025878702579601492,0.02284740112441186,12
24,0.1,4.332,-0.014844210574252578,0.03427996262846037,12
24,0.1,4.358,0.03722573171438972,0.021049709937922906,12
24,0.1,4.384,0.007753976180291944,0.03226989798982134,12
24,0.1,4.41,0.014641464138729429,0.026867747607652266,12
24,0.1,4.436,0.06412699110465937,0.024484885042184504,12
24,0.1,4.462,0.05749924900873216,0.020807030048438906,12
24,0.1,4.488,-0.010690632341296061,0.024012276161108608,12
24,0.1,4.514,0.014795517790038756,0.018934507631441617,12
24,0.1,4.54,-0.026605753551366917,0.036582376162773864,12
24,0.1,4.566,-0.007990666992563669,0.03955495820369301,12
24,0.1,4.592,0.042816425013556335,0.03788556872961846,12
24,0.1,4.618,-0.009519380883125048,0.04795246428607858,12
24,0.1,4.644,-0.01880182532195827,0.02618473604159264,12
24,0.1,4.67,0.018827541363112005,0.033036898783306366,12
24,0.1,4.696,0.02063112639254186,0.04658522169841616,12
24,0.1,4.722,0.07917654301270517,0.03515940049082089,12
24,0.1,4.748,0.06150300044425478,0.03973205442766182,12
24,0.1,4.774,0.062006899965224765,0.03860703564409112,12
24,0.1,4.8,-0.016100709224688,0.05755968407985294,12
28,0.1,3.5,0.6664903409229059,2.366085233446835e-06,12
28,0.1,3.526,0.6664671568917192,3.1416021763611935e-06,12
28,0.1,3.552,0.6385734965234338,0.02786952426178701,12
28,0.1,3.578,0.6664223351461273,2.996289617552537e-06,12
28,0.1,3.604,0.6663806535327023,4.370849454993845e-06,12
28,0.1,3.63,0.6663342340450239,5.831647291971881e-06,12
28,0.1,3.656,0.6662897393814016,5.275890250763623e-06,12
28,0.1,3.682,0.6662087945137344,7.778906186661395e-06,12
28,0.1,3.708,0.6661429759694998,1.0064829424058946e-05,12
28,0.1,3.734,0.666033377056058,1.2613006312549913e-05,12
28,0.1,3.76,0.6659353778800725,1.5152078549201308e-05,12
28,0.1,3.786,0.6657432662583744,1.8808037535116522e-05,12
28,0.1,3.812,0.665508270384533,2.8881781995816107e-05,12
28,0.1,3.838,0.6651533934897441,2.807708922907083e-05,12
28,0.1,3.864,0.6646722912164597,9.528650528738624e-05,12
28,0.1,3.89,0.6640362014074405,4.74945279295519e-05,12
28,0.1,3.916,0.6623046633779025,0.00021753178292451897,12
28,0.1,3.942,0.6601217757107855,0.0002840794570373999,12
28,0.1,3.968,0.6550819917505946,0.0009339450309670219,12
28,0.1,3.994,0.6346964491288618,0.002297525894806926,12
28,0.1,4.02,0.4994230034300144,0.05598783700560952,12
28,0.1,4.046,0.3315085031762677,0.040265105006493565,12
28,0.1,4.072,0.2003210405140722,0.0378672608377742,12
28,0.1,4.098,0.1599085188621295,0.03765559197241828,12
28,0.1,4.124,0.0920346043484072,0.03697971836466179,12
28,0.1,4.15,0.025933296753905127,0.03165122655392167,12
28,0.1,4.176,0.06729175596607928,0.044405453156893045,12
28,0.1,4.202,0.05181016618106208,0.04089169659006232,12
28,0.1,4.228,0.06583140157953517,0.030909446111689182,12
28,0.1,4.254,0.01013213227605203,0.042684536885613675,12
28,0.1,4.28,0.03326266197236857,0.026929415265056704,12
28,0.1,4.306,-0.010090735292546033,0.035088803804124734,12
28,0.1,4.332,0.09354752590403505,0.01833267669401011,12
28,0.1,4.358,0.0250097436744592,0.044921076684251174,12
28,0.1,4.384,-0.0004034386022713314,0.0258178081606191,12
28,0.1,4.41,0.035739848528446035,0.041054959295918576,12
28,0.1,4.436,-0.0543082896839712,0.041432777558051574,12
28,0.1,4.462,0.024728244337987693,0.049184877965786904,12
28,0.1,4.488,-0.007256437540053108,0.030162203744148332,12
28,0.1,4.514,0.047168173944911705,0.05128456483509133,12
28,0.1,4.54,0.08218571067059251,0.07342548584408962,12
28,0.1,4.566,0.058231799413296766,0.05948279332144703,12
28,0.1,4.592,0.0504765725304214,0.07337947128174414,12
