t,rho
4870,0.02034667
4880,0.01926400
4890,0.01887467
4900,0.01957867
4910,0.01961600
4920,0.02070400
4930,0.01949333
4940,0.02085867
4950,0.01974400
4960,0.01866133
4970,0.01897600
4980,0.01918400
4990,0.01964800
5000,0.02021333
5010,0.01885867
5020,0.02043733
5030,0.01977600
5040,0.02020267
5050,0.01985067
5060,0.02061333
5070,0.02062400
5080,0.01912533
5090,0.02077867
5100,0.01989333
5110,0.01942933
5120,0.01952533
5130,0.01891200
5140,0.01950400
5150,0.01895467
5160,0.01983467
5170,0.01925867
5180,0.01901333
5190,0.01989867
5200,0.01961600
5210,0.01874133
5220,0.01907733
5230,0.01938667
5240,0.01979200
5250,0.01865600
5260,0.02066133
5270,0.02057600
5280,0.01957333
5290,0.01979200
5300,0.02026667
5310,0.01952000
5320,0.01990933
5330,0.01893333
5340,0.01946133
5350,0.01844800
5360,0.01825067
5370,0.01953600
5380,0.01947200
5390,0.01965333
5400,0.01977067
5410,0.01949867
5420,0.01963200
5430,0.01989867
5440,0.01899200
5450,0.01904000
5460,0.01953067
5470,0.01954667
5480,0.01897067
5490,0.01932800
5500,0.01815467
5510,0.01880533
5520,0.01990400
5530,0.01982400
5540,0.01933867
5550,0.01976533
5560,0.02015467
5570,0.01817600
5580,0.01987733
5590,0.01895467
5600,0.01925867
5610,0.01918933
5620,0.01874667
5630,0.01976533
5640,0.01970667
5650,0.01904533
5660,0.01934400
5670,0.01965867
5680,0.01966933
5690,0.01938667
5700,0.02020800
5710,0.02001067
5720,0.01971733
5730,0.01948800
5740,0.01902400
5750,0.01998933
5760,0.01914667
5770,0.01922133
5780,0.01884267
5790,0.01938133
5800,0.01941333
5810,0.02024000
5820,0.01930667
5830,0.01934933
5840,0.01958933
5850,0.02014400
5860,0.02053333
5870,0.01963200
5880,0.02003733
5890,0.01987733
5900,0.01854400
5910,0.01895467
5920,0.01994667
5930,0.01905067
5940,0.01926400
5950,0.01998400
5960,0.01839467
5970,0.01930133
5980,0.01935467
5990,0.01965867
6000,0.01895467
6010,0.01903467
6020,0.02013867
6030,0.02095467
6040,0.01963200
6050,0.01917867
6060,0.01853867
6070,0.01947200
6080,0.01949333
6090,0.01876267
6100,0.01950933
6110,0.02029867
6120,0.01896533
6130,0.01960000
6140,0.01895467
6150,0.01916267
6160,0.01893333
6170,0.02013867
6180,0.01949867
6190,0.01986667
6200,0.02034667
6210,0.02002667
6220,0.02049600
6230,0.01954133
6240,0.01924267
6250,0.01965333
6260,0.01876267
6270,0.01876800
6280,0.01912000
6290,0.01914133
6300,0.01881600
6310,0.02001600
6320,0.01937600
6330,0.01877867
6340,0.01974400
6350,0.01931733
6360,0.02030933
6370,0.01961067
6380,0.01886933
6390,0.01990400
6400,0.01927467
6410,0.01989867
6420,0.02020800
6430,0.01982400
6440,0.01959467
6450,0.02011733
6460,0.01867200
6470,0.02005867
6480,0.01841600
6490,0.01848000
6500,0.01993067
6510,0.02062400
6520,0.02029333
6530,0.01931200
6540,0.01893867
6550,0.02073600
6560,0.01912533
6570,0.01871467
6580,0.01977600
6590,0.01890133
6600,0.01892267
6610,0.01882667
6620,0.02010667
6630,0.01929600
6640,0.01928533
6650,0.01867733
6660,0.02042133
6670,0.02032533
6680,0.01930667
6690,0.02083200
6700,0.01887467
6710,0.01966933
6720,0.01876800
6730,0.01899200
6740,0.02057067
6750,0.01988800
6760,0.02044267
6770,0.01980800
6780,0.01902400
6790,0.01928000
6800,0.01867200
6810,0.02009067
6820,0.01947733
6830,0.01896000
6840,0.01840000
6850,0.02013867
6860,0.01949867
6870,0.01894933
6880,0.01875200
6890,0.01957867
6900,0.01936533
6910,0.01919467
6920,0.01888000
6930,0.01956800
6940,0.02010667
6950,0.02019200
6960,0.01995200
6970,0.02021333
6980,0.02030400
6990,0.01905067
7000,0.01995733
7010,0.01958933
7020,0.01930133
7030,0.01915733
7040,0.02082133
7050,0.02025600
7060,0.01961600
7070,0.01867733
7080,0.02020800
7090,0.01934933
7100,0.01977600
7110,0.01918400
7120,0.01918400
7130,0.01903467
7140,0.01967467
7150,0.02021333
7160,0.01955200
7170,0.02025067
7180,0.02049067
7190,0.01960000
7200,0.01921067
7210,0.01890133
7220,0.01972800
7230,0.01925333
