p_removed,n,realization,graph_file,sweep_file,mean_degree,n_edges,seed,tmin,tmax,steps,warmup,samples
0.3,24,0,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r000_sweep.csv,4.200086805555555,29031,1003042,2.4,3.8,51,4000,3000
0.3,24,1,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r001_sweep.csv,4.200086805555555,29031,1004051,2.4,3.8,51,4000,3000
0.3,24,2,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r002_sweep.csv,4.200086805555555,29031,1005060,2.4,3.8,51,4000,3000
0.3,24,3,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r003_sweep.csv,4.200086805555555,29031,1006069,2.4,3.8,51,4000,3000
0.3,24,4,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r004_sweep.csv,4.200086805555555,29031,1007078,2.4,3.8,51,4000,3000
0.3,24,5,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r005_sweep.csv,4.200086805555555,29031,1008087,2.4,3.8,51,4000,3000
0.3,24,6,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r006_sweep.csv,4.200086805555555,29031,1009096,2.4,3.8,51,4000,3000
0.3,24,7,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r007_sweep.csv,4.200086805555555,29031,1010105,2.4,3.8,51,4000,3000
0.3,24,8,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r008_sweep.csv,4.200086805555555,29031,1011114,2.4,3.8,51,4000,3000
0.3,24,9,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r009_sweep.csv,4.200086805555555,29031,1012123,2.4,3.8,51,4000,3000
0.3,24,10,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r010_sweep.csv,4.200086805555555,29031,1013132,2.4,3.8,51,4000,3000
0.3,24,11,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r011_sweep.csv,4.200086805555555,29031,1014141,2.4,3.8,51,4000,3000
0.4,24,0,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r000_sweep.csv,3.600115740740741,24884,1004042,1.8,3.2,51,4000,3000
0.4,24,1,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r001_sweep.csv,3.600115740740741,24884,1005051,1.8,3.2,51,4000,3000
0.4,24,2,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r002_sweep.csv,3.600115740740741,24884,1006060,1.8,3.2,51,4000,3000
0.4,24,3,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r003_sweep.csv,3.600115740740741,24884,1007069,1.8,3.2,51,4000,3000
0.4,24,4,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r004_sweep.csv,3.600115740740741,24884,1008078,1.8,3.2,51,4000,3000
0.4,24,5,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r005_sweep.csv,3.600115740740741,24884,1009087,1.8,3.2,51,4000,3000
0.4,24,6,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r006_sweep.csv,3.600115740740741,24884,1010096,1.8,3.2,51,4000,3000
0.4,24,7,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r007_sweep.csv,3.600115740740741,24884,1011105,1.8,3.2,51,4000,3000
0.4,24,8,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r008_sweep.csv,3.600115740740741,24884,1012114,1.8,3.2,51,4000,3000
0.4,24,9,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r009_sweep.csv,3.600115740740741,24884,1013123,1.8,3.2,51,4000,3000
0.4,24,10,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r010_sweep.csv,3.600115740740741,24884,1014132,1.8,3.2,51,4000,3000
0.4,24,11,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r011_sweep.csv,3.600115740740741,24884,1015141,1.8,3.2,51,4000,3000
0.5,24,0,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r000_sweep.csv,3.0,20736,1005042,1.3,2.7,51,4000,3000
0.5,24,1,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r001_sweep.csv,3.0,20736,1006051,1.3,2.7,51,4000,3000
0.5,24,2,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r002_sweep.csv,3.0,20736,1007060,1.3,2.7,51,4000,3000
0.5,24,3,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r003_sweep.csv,3.0,20736,1008069,1.3,2.7,51,4000,3000
0.5,24,4,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r004_sweep.csv,3.0,20736,1009078,1.3,2.7,51,4000,3000
0.5,24,5,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r005_sweep.csv,3.0,20736,1010087,1.3,2.7,51,4000,3000
0.5,24,6,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r006_sweep.csv,3.0,20736,1011096,1.3,2.7,51,4000,3000
0.5,24,7,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r007_sweep.csv,3.0,20736,1012105,1.3,2.7,51,4000,3000
0.5,24,8,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r008_sweep.csv,3.0,20736,1013114,1.3,2.7,51,4000,3000
0.5,24,9,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r009_sweep.csv,3.0,20736,1014123,1.3,2.7,51,4000,3000
0.5,24,10,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r010_sweep.csv,3.0,20736,1015132,1.3,2.7,51,4000,3000
0.5,24,11,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r011_sweep.csv,3.0,20736,1016141,1.3,2.7,51,4000,3000
