temp_idx,E,M
11,-0.83413925,0.00289003
12,-0.82155488,0.00131293
13,-0.80856219,0.00149041
14,-0.79557848,0.00203381
15,-0.78368908,0.00141340
0,-1.11574790,0.30477373
1,-1.07759609,0.26167303
2,-1.03956585,0.21500286
3,-0.99886400,0.13016146
4,-0.96395260,0.01872523
5,-0.93972948,0.00982341
6,-0.91772564,0.00759466
7,-0.89809823,0.00492641
8,-0.88127585,0.00230970
9,-0.86284328,0.00348879
10,-0.84768196,0.00104076
11,-0.83475699,0.00263862
12,-0.82101324,0.00101283
13,-0.80831252,0.00146934
14,-0.79564415,0.00107520
15,-0.78335253,0.00182894
0,-1.11548800,0.30297583
1,-1.07732448,0.26373365
2,-1.03919503,0.21386762
3,-0.99951594,0.12902999
4,-0.96314620,0.01885142
5,-0.94028458,0.00548812
6,-0.91707334,0.00281547
7,-0.89817873,0.00299760
8,-0.88075155,0.00333269
9,-0.86179020,0.00180101
10,-0.84796870,0.00279759
11,-0.83450950,0.00258651
12,-0.82138831,0.00128224
13,-0.80788997,0.00160971
14,-0.79572782,0.00100783
15,-0.78257710,0.00195808
0,-1.11554117,0.30045134
1,-1.07711515,0.26387285
2,-1.03993022,0.21469721
3,-0.99945034,0.13021343
4,-0.96269130,0.01950261
5,-0.94029712,0.00513115
6,-0.91742565,0.00212707
7,-0.89809852,0.00537711
8,-0.88081775,0.00323097
9,-0.86277485,0.00095238
10,-0.84824036,0.00170882
11,-0.83445426,0.00345739
12,-0.82119022,0.00434627
13,-0.80802813,0.00170831
14,-0.79525619,0.00127511
15,-0.78269448,0.00060800
0,-1.11578378,0.30138294
1,-1.07662769,0.26412510
2,-1.04016281,0.21320656
3,-0.99845976,0.12733876
4,-0.96339248,0.01049031
5,-0.93988430,0.00837831
6,-0.91757869,0.00266364
7,-0.89885828,0.00144569
8,-0.88150060,0.00358152
9,-0.86299206,0.00255001
10,-0.84847799,0.00308058
11,-0.83428282,0.00237845
12,-0.82102486,0.00093889
13,-0.80785745,0.00149922
14,-0.79588443,0.00202570
15,-0.78308909,0.00238622
0,-1.11547071,0.30150330
1,-1.07769520,0.25954436
2,-1.04070227,0.21401769
3,-0.99818695,0.12575621
4,-0.96378336,0.00871549
5,-0.94012318,0.00654643
6,-0.91785171,0.00312864
7,-0.89878840,0.00223398
8,-0.88195755,0.00114646
9,-0.86359253,0.00216304
10,-0.84797705,0.00368866
11,-0.83381737,0.00183016
12,-0.82121889,0.00410889
13,-0.80797792,0.00361615
14,-0.79569115,0.00163518
15,-0.78303597,0.00341683
0,-1.11522619,0.30269992
1,-1.07807956,0.26726277
2,-1.04002363,0.21449090
3,-0.99876385,0.12739357
4,-0.96426580,0.01415189
5,-0.93922322,0.00603880
6,-0.91771661,0.00503771
7,-0.89825914,0.00377587
8,-0.88214082,0.00197622
9,-0.86367469,0.00321120
10,-0.84826296,0.00601212
11,-0.83427369,0.00296909
12,-0.82106294,0.00185509
13,-0.80830884,0.00134906
14,-0.79553386,0.00141549
15,-0.78325661,0.00148319
0,-1.11464986,0.29967983
1,-1.07850132,0.26395150
2,-1.04011776,0.21648599
3,-0.99877935,0.12235040
4,-0.96418970,0.00989461
5,-0.93943799,0.00402346
6,-0.91773947,0.00531573
7,-0.89754273,0.00086976
8,-0.88215003,0.00303291
9,-0.86404564,0.00391169
10,-0.84866284,0.00306935
11,-0.83344877,0.00115966
12,-0.82121344,0.00074248
13,-0.80811734,0.00241355
14,-0.79512479,0.00152831
15,-0.78373047,0.00106167
0,-1.11408882,0.30164429
1,-1.07758073,0.26376877
2,-1.04032235,0.20956304
3,-0.99806580,0.12330152
4,-0.96483478,0.00681193
5,-0.93902466,0.00945120
6,-0.91794083,0.00566476
7,-0.89790321,0.00239960
8,-0.88118498,0.00253666
9,-0.86418033,0.00335190
10,-0.84933892,0.00336943
11,-0.83407553,0.00226308
12,-0.82108528,0.00383203
13,-0.80786952,0.00154525
14,-0.79464711,0.00159124
15,-0.78349996,0.00151247
0,-1.11373591,0.30294748
1,-1.07751494,0.26720408
2,-1.04012740,0.21408606
3,-0.99888131,0.12414826
4,-0.96560635,0.01676505
5,-0.93916925,0.00653543
6,-0.91749927,0.00567818
7,-0.89865233,0.00319758
8,-0.88154127,0.00269963
9,-0.86402475,0.00244576
10,-0.84948690,0.00207852
11,-0.83399861,0.00190702
12,-0.82119954,0.00144531
13,-0.80850447,0.00199396
14,-0.79486381,0.00231840
15,-0.78370657,0.00329523
0,-1.11391813,0.30483091
1,-1.07754352,0.26523316
2,-1.03960358,0.21252416
3,-0.99962756,0.12356195
4,-0.96460109,0.01563687
5,-0.93912387,0.00577177
6,-0.91696472,0.00209961
7,-0.89848419,0.00593680
8,-0.88145893,0.00170520
9,-0.86417205,0.00120781
10,-0.84938827,0.00212728
