p_removed,T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,mean_degree,mean_degree_err,n_realizations
0.2,3.416,-1.1814539166666667,0.0007376862215670804,0.5138089166666667,0.0007518505901937902,0.26439141666666666,0.0007650203845405856,0.07031283333333334,0.0003980349617911482,1.5830425833333333,0.029092519485635765,3.6974703333333334,0.12895173779800825,4.800048828125,0.0,12
0.2,3.442,-1.1378705833333334,0.0014948967910980923,0.47912099999999996,0.0015868030514977036,0.23012849999999999,0.001502702451948126,0.05347333333333334,0.0006794853370252542,1.6560238333333333,0.05839719195755717,5.177618416666667,0.3133637475518415,4.800048828125,0.0,12
0.2,3.468,-1.09219925,0.0013487490001962113,0.4387174166666667,0.0017727307066950696,0.1934545,0.001490419396436027,0.038142833333333334,0.0005529216728096542,1.96737275,0.138089767603943,8.947549833333333,1.2839261415911014,4.800048828125,0.0,12
0.2,3.494,-1.0404289166666667,0.0015085455641331053,0.3824085,0.002608616298428009,0.1478765,0.0019097589031555316,0.022779583333333336,0.0005351876682788737,2.117286583333333,0.08109884627887452,14.679518666666667,1.067228509465198,4.800048828125,0.0,12
0.2,3.52,-0.9872754166666667,0.002728202514750309,0.30497558333333336,0.00751768280552726,0.09740133333333334,0.003813805254624575,0.010827416666666667,0.0006340956511625295,2.3258673333333335,0.12341148584452558,51.374537833333335,20.913405184803604,4.800048828125,0.0,12
0.2,3.546,-0.9298656666666667,0.004302453488441455,0.1783050833333333,0.018900790649430812,0.040007,0.0062413996851910574,0.00259175,0.000523356896666012,1.4232526666666667,0.10523686864692959,86.79437275,23.07432689549263,4.800048828125,0.0,12
0.2,3.572,-0.8981865,0.00127526645759966,0.1215245,0.006307552702790906,0.019329583333333334,0.0015910563455840377,0.0006848333333333333,9.761673922938512e-05,1.0039643333333335,0.06482836978308436,114.63348875000001,23.80428236681896,4.800048828125,0.0,12
0.2,3.598,-0.87503325,0.0007255290872455746,0.07613075,0.003476548090147188,0.008684083333333334,0.0006895563951526806,0.00019191666666666665,2.7368821658776235e-05,0.7525039166666666,0.036286765894297475,59.876445499999996,5.356489328360153,4.800048828125,0.0,12
0.2,3.624,-0.85673925,0.00034361703764599217,0.05346575,0.0019998426533749045,0.00438275,0.00026826609711932736,5.158333333333333e-05,5.957498882021962e-06,0.6008168333333334,0.012560395518787766,34.76793733333333,2.668433426208668,4.800048828125,0.0,12
0.2,3.65,-0.8425961666666666,0.00039663351975078253,0.043553916666666664,0.0018259994335121982,0.0028900833333333335,0.00021237629049078495,2.2833333333333334e-05,3.101400791366196e-06,0.5358425833333333,0.011439001395715753,23.520344499999997,1.9851108647430198,4.800048828125,0.0,12
0.2,3.676,-0.8286639166666667,0.00037221455319629167,0.03915483333333333,0.001260113888752228,0.002436666666666667,0.00014085299306924813,1.85e-05,1.7985684543126197e-06,0.5057294166666667,0.010767616461618617,19.119014416666666,1.0274301817206397,4.800048828125,0.0,12
0.2,3.702,-0.8161003333333333,0.00037528194115029684,0.03257483333333334,0.0013388121874379256,0.0016593333333333332,0.00013001814170229158,7.75e-06,1.1086778913041725e-06,0.4609783333333333,0.0057858121536892085,13.709863499999999,0.8636372464632086,4.800048828125,0.0,12
0.2,3.728,-0.80441375,0.00024109086445620896,0.03151491666666666,0.0008914591329569312,0.0015266666666666666,7.633680685493783e-05,6.5e-06,6.215815605080611e-07,0.43719949999999996,0.006076862072150349,12.742081333333333,0.8482218578258315,4.800048828125,0.0,12
